,EOF1,EOF2,LOC,AR_CAT
1987-03-28 09:00:00,0.24322925396167175,-0.23434584078165366,R01,1
1987-03-31 09:00:00,-0.40273882044514675,-0.4588261393119842,R01,2
1987-04-06 09:00:00,0.30508391058661477,-0.022720692884682137,R01,1
1987-04-09 09:00:00,-0.03370429762208208,0.5511552667135423,R03,2
1987-04-10 09:00:00,-0.2623286233721223,0.3051151212665685,R03,2
1987-04-19 09:00:00,0.605521414667538,0.08311653701418585,R01,1
1987-04-20 09:00:00,0.665311922726978,-0.08790248361014558,R01,1
1987-04-21 09:00:00,0.5051393597503204,-0.12899758087907925,R01,1
1987-04-24 09:00:00,0.3147378634908088,0.512870501278888,R03,1
1988-03-01 09:00:00,-0.5660141107354599,-0.0753151496293395,R03,2
1988-03-06 09:00:00,-0.08727764500218543,-0.47956074069876053,R01,2
