,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
1988-12-28 09:00:00,R01,-0.565824120279268,0.07853976970804742,1,1,0,1
1988-12-29 09:00:00,R01,-0.3565973895199194,0.07541414964045337,1,0,0,0
1989-01-05 09:00:00,R01,-0.3107939615505908,-0.2206328846787178,4,0,0,0
1989-01-07 09:00:00,R02,0.3449502479587712,-0.05035503314669969,3,0,0,0
1989-01-08 09:00:00,R02/R03,0.2646848786389184,0.2797268297451857,2,0,0,0
1989-02-02 09:00:00,R01,-0.643315005806158,0.018019027739148038,1,1,0,1
1989-02-03 09:00:00,R01,-0.51824131437927,-0.05568284818004252,1,1,0,1
1989-02-14 09:00:00,R03,-0.041740421702415285,0.23208704915405373,2,0,0,0
1989-02-19 09:00:00,R03,-0.015314727585525467,0.6834890250810841,2,0,1,2
1989-02-23 09:00:00,R01,-0.37301291983261803,-0.09319632484019082,1,0,0,0
