,LOC,EOF1,EOF2,EOF3,EOF4,AR_CAT
1990-02-05 09:00:00,R01,-0.2894277642457548,-0.6480750417620864,-0.31776314206624984,0.06397272645087337,2
1990-02-06 09:00:00,R01,-0.29109613207875046,-0.47287242124125234,-0.27925064893120705,-0.06844303357660975,2
1990-02-07 09:00:00,R01,-0.062214539915794016,-0.3009701219948357,-0.3700488248643074,-0.18523695447216307,2
1990-02-11 09:00:00,R01,0.008077645594287457,-0.15252887931040582,0.12238724904559668,0.12657256563240743,2
1990-12-18 09:00:00,R03,0.11060265228266698,0.3948136372264506,0.23723715927941585,0.09754763252268947,3
1990-12-26 09:00:00,R01,-0.04347607381448335,0.42420043120258494,-0.028959507779929106,-0.2500896296568212,3
1990-12-27 09:00:00,R01,0.12567090527414482,0.33698110420974925,-0.28308208545601937,-0.22528902537161546,3
1990-12-28 09:00:00,R01,0.5208365139139728,0.05394092863268898,-0.38505355375487005,-0.14533217454669248,3
1990-12-29 09:00:00,R02,0.5630465354485927,-0.3112863958006336,-0.43969225611581847,-0.22248186481719093,2
1991-01-02 09:00:00,R03,0.32318753169752207,-0.4153648521385035,-0.1797970148439311,0.11193005398792479,2
1991-01-24 09:00:00,R01,-0.3105131791112284,-0.24238265022254518,0.3782908546936461,-0.053427358822178375,1
1991-01-25 09:00:00,R01/R02,-0.6139044772757201,-0.06051182748085986,0.33661951617927743,-0.07172599713525188,1
1991-01-26 09:00:00,R01/R02,-0.7400310357188421,0.2133819567207479,0.14381247821824533,-0.03265744977409323,1
1991-01-27 09:00:00,R01,-0.6410627736898317,0.4799546194993494,0.1773024711970855,-0.02868185472213259,1
1991-02-08 09:00:00,R02,-0.3546965860567728,0.07691595567189438,-0.053237879201087523,0.4986547425532124,1
1991-02-09 09:00:00,R01,-0.3070472308966051,0.33718110832659,-0.15011775944458286,0.45310424472189437,1
1991-02-10 09:00:00,R01/R02,-0.13166250771698487,0.3683135345117169,-0.32599580312584764,0.280648271852977,1
