,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
1983-02-28 09:00:00,R01/R02,-0.39420995683822496,-0.015248948314358133,1,1,0,1
1983-12-25 09:00:00,R03,0.31378249114386236,0.4945483544060277,2,1,1,2
1983-12-26 09:00:00,R03,0.116861533527341,0.6210908541379706,2,0,1,2
1983-12-27 09:00:00,R03,-0.13145053006648974,0.3719025317893786,1,0,1,2
1984-01-16 09:00:00,R03,0.3760259735276601,0.5473023522259214,2,1,1,2
1984-01-17 09:00:00,R03,0.18030159383399788,0.5134001905404301,2,0,1,2
1984-02-19 09:00:00,R02,0.5984708448770008,-0.11639959577583527,2,1,0,1
1984-02-20 09:00:00,R03,0.5417935400247976,-0.055313907939451096,2,1,0,1
1984-12-07 09:00:00,R01,-0.336876116863337,0.03138087255063953,1,1,0,1
1984-12-09 09:00:00,R02,-0.4338501134898268,0.0506142374606367,1,1,0,1
1984-12-10 09:00:00,R01/R02,-0.3219852053779378,0.12696592295967782,1,0,0,0
1984-12-13 09:00:00,R03,0.08402983808167194,0.417127794819429,2,0,1,2
1984-12-14 09:00:00,R03,0.06666232848095457,0.32655589070942287,2,0,1,2
1985-01-17 09:00:00,R01,0.08637220969344579,-0.46986856265082144,1,0,1,2
1985-02-02 09:00:00,R01,-0.11459826650721679,0.5143548906578058,1,0,1,2
1985-12-06 09:00:00,R01,-0.1279597986403538,-0.17598938317856722,1,0,0,0
1985-12-19 09:00:00,R01,-0.2435255369003113,0.3522848911366257,1,0,1,2
1985-12-20 09:00:00,R01,-0.3119401650197385,0.06898032114667513,1,0,0,0
1985-12-21 09:00:00,R01,-0.25474812400428193,-0.010608863933836778,1,0,0,0
1985-12-26 09:00:00,R02,0.14874997780321486,0.21082398294791857,2,0,0,0
1986-02-09 09:00:00,R02,0.28446467304853923,-0.23024547240886095,2,0,0,0
1986-12-03 09:00:00,R01,-0.4569236835765141,0.07896547181212067,1,1,0,1
1986-12-04 09:00:00,R01,-0.48318004374661033,0.12717641611195182,1,1,0,1
1986-12-05 09:00:00,R01,-0.5116919056769658,0.034966378952086624,1,1,0,1
1986-12-06 09:00:00,R01,-0.39380224163458954,-0.11582630295741597,1,1,0,1
1986-12-13 09:00:00,R02,0.06275698266025066,-0.14712363021003624,2,0,0,0
1987-02-11 09:00:00,R01,-0.17829748750214713,-0.2014757719097601,1,0,0,0
1987-12-11 09:00:00,R02,0.2606892320376264,-0.11283266387378178,2,0,0,0
1987-12-29 09:00:00,R01,-0.4323004657713298,-0.052826885496682845,1,1,0,1
1987-12-30 09:00:00,R01,-0.47350804127565815,-0.07432358272991563,1,1,0,1
1987-12-31 09:00:00,R01,-0.45378975625897433,-0.22684224849835397,1,1,0,1
1988-01-01 09:00:00,R01,-0.280137768026794,-0.4347169086742698,1,0,1,2
1988-01-20 09:00:00,R01,0.1325392218846736,-0.37779563407652,2,0,1,2
1988-02-18 09:00:00,R01,-0.29004867377344334,0.11137325801210494,1,0,0,0
1988-02-19 09:00:00,R01,-0.10969139521787948,-0.05847464799968657,1,0,0,0
1988-02-23 09:00:00,R03,0.3175430571388194,0.41295697463558895,2,1,1,2
1988-02-24 09:00:00,R03,0.2748226259042309,0.3332361748390536,2,0,1,2
1988-12-20 09:00:00,R01,-0.023277988255771855,0.0723714338273626,1,0,0,0
1988-12-27 09:00:00,R01,-0.38369544342616574,0.4412032328644763,1,1,1,2
