,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
1988-12-27 09:00:00,R01,-0.5637985511363236,-0.3343936676291802,3,1,1,2
1988-12-28 09:00:00,R01,-0.6175167634284728,-0.06640934884691664,3,1,0,1
1988-12-29 09:00:00,R01,-0.3982685023743235,-0.11326523048336393,3,0,0,0
1989-01-05 09:00:00,R01,-0.3282007395002237,0.29038356142408667,3,0,0,0
1989-01-07 09:00:00,R02,0.4148885576078051,0.021262128906601008,2,1,0,1
1989-01-08 09:00:00,R02/R03,0.3018471189900454,-0.33837079588185787,1,0,1,2
1989-02-02 09:00:00,R01,-0.6731896461308245,0.0013136516682061932,3,1,0,1
1989-02-03 09:00:00,R01,-0.5085864614571527,0.07159849357397187,3,1,0,1
1989-02-14 09:00:00,R03,-0.00575157189508765,-0.263020044042281,1,0,0,0
1989-02-19 09:00:00,R03,-0.0342171287655323,-0.7520549471310947,1,0,1,2
1989-02-23 09:00:00,R01,-0.4323509592875714,0.19194719229838894,3,1,0,1
1989-12-06 09:00:00,R01,-0.44421364748014824,0.05820376599278498,3,1,0,1
1989-12-07 09:00:00,R01,-0.4154108189129036,0.20921640584271958,3,0,0,0
1989-12-16 09:00:00,R01,-0.40123330042173905,-0.15143508573607498,3,0,0,0
1989-12-17 09:00:00,R01,-0.3728577615588599,0.10368500065470933,3,0,0,0
1989-12-25 09:00:00,R03,0.48682585606910916,-0.13481325804220332,2,1,0,1
1989-12-26 09:00:00,R03,0.47817345123673977,-0.12736391351877352,2,1,0,1
1990-01-17 09:00:00,R01/R02,-0.4869649979265625,0.20257472008140598,3,1,0,1
1990-01-18 09:00:00,R01/R02,-0.41595501086780934,0.4216016669165769,3,0,1,2
1990-01-19 09:00:00,R01/R02,-0.040645682722286164,0.5305225541120924,3,0,1,2
1990-01-26 09:00:00,R01,0.16697886139644466,-0.058926041278805255,2,0,0,0
1990-02-05 09:00:00,R01,-0.2894277642457548,-0.6480750417620864,1,0,1,2
1990-02-06 09:00:00,R01,-0.29109613207875046,-0.47287242124125234,1,0,1,2
1990-02-07 09:00:00,R01,-0.062214539915794016,-0.3009701219948357,1,0,0,0
1990-02-11 09:00:00,R01,0.008077645594287457,-0.15252887931040582,1,0,0,0
1990-12-18 09:00:00,R03,0.11060265228266698,0.3948136372264506,2,0,1,2
1990-12-26 09:00:00,R01,-0.04347607381448335,0.42420043120258494,3,0,1,2
1990-12-27 09:00:00,R01,0.12567090527414482,0.33698110420974925,2,0,1,2
1990-12-28 09:00:00,R01,0.5208365139139728,0.05394092863268898,2,1,0,1
1990-12-29 09:00:00,R02,0.5630465354485927,-0.3112863958006336,2,1,0,1
1991-01-02 09:00:00,R03,0.32318753169752207,-0.4153648521385035,1,0,1,2
1991-01-24 09:00:00,R01,-0.3105131791112284,-0.24238265022254518,3,0,0,0
1991-01-25 09:00:00,R01/R02,-0.6139044772757201,-0.06051182748085986,3,1,0,1
1991-01-26 09:00:00,R01/R02,-0.7400310357188421,0.2133819567207479,3,1,0,1
1991-01-27 09:00:00,R01,-0.6410627736898317,0.4799546194993494,3,1,1,2
1991-02-08 09:00:00,R02,-0.3546965860567728,0.07691595567189438,3,0,0,0
1991-02-09 09:00:00,R01,-0.3070472308966051,0.33718110832659,3,0,1,2
1991-02-10 09:00:00,R01/R02,-0.13166250771698487,0.3683135345117169,3,0,1,2
1991-02-18 09:00:00,R03,0.45834248732255817,0.22893074430622018,2,1,0,1
1991-02-26 09:00:00,R02,0.48170205217970274,-0.4671279446763377,1,1,1,2
1991-12-04 09:00:00,R01,-0.4635186167796183,0.009934470378982449,3,1,0,1
1991-12-05 09:00:00,R01,-0.20351832314158375,-0.03846246991988662,3,0,0,0
1991-12-10 09:00:00,R01,0.2565928882228994,-0.08589325050830536,2,0,0,0
1991-12-11 09:00:00,R01,0.04736126723988643,-0.006149603499615558,2,0,0,0
1991-12-12 09:00:00,R01,-0.14634206773938446,-0.020160578934999653,3,0,0,0
1991-12-13 09:00:00,R01,-0.29592707611484875,-0.06390448044067111,3,0,0,0
1991-12-14 09:00:00,R01,-0.41779426397793235,-0.15898547168510302,3,1,0,1
1991-12-15 09:00:00,R01,-0.5682273892907301,-0.042935058359027334,3,1,0,1
1991-12-16 09:00:00,R01,-0.593249272325466,0.3079263914022318,3,1,0,1
1991-12-24 09:00:00,R03,0.44069116067688874,-0.6031876236776246,1,1,1,2
1991-12-25 09:00:00,R03,0.3801475275242741,-0.4931911242556485,1,0,1,2
1991-12-26 09:00:00,R03,0.3262903307345511,-0.30466396024799636,1,0,0,0
1992-01-03 09:00:00,R01,-0.7481070086645237,-0.29938880480690533,3,1,0,1
1992-01-04 09:00:00,R01,-0.6456519995414212,0.10098915672296352,3,1,0,1
1992-01-05 09:00:00,R01,-0.31196434337021073,0.1509784766309125,3,0,0,0
1992-01-06 09:00:00,R01,-0.30391205231562957,0.07334698626477985,3,0,0,0
1992-01-23 09:00:00,R01,-0.4625819175626002,0.40953005646103346,3,1,1,2
1992-01-24 09:00:00,R01/R02,-0.4868588271257444,0.4401322708356429,3,1,1,2
1992-01-25 09:00:00,R01/R02,-0.43162059809864306,0.45027668484891786,3,1,1,2
